21:39:19.224 [main] INFO  c.a.n.c.c.i.CacheData - [addListener,197] - [fixed-localhost_8848] [add-listener] ok, tenant=, dataId=mf-oauth.yml, group=DEFAULT_GROUP, cnt=1
21:39:19.224 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=mf-oauth.yml, group=DEFAULT_GROUP
21:39:19.233 [main] INFO  c.a.n.c.c.i.ClientWorker - [addCacheDataIfAbsent,381] - [fixed-localhost_8848] [subscribe] mf-oauth-dev.yml+DEFAULT_GROUP
21:39:19.233 [main] INFO  c.a.n.c.c.i.CacheData - [addListener,197] - [fixed-localhost_8848] [add-listener] ok, tenant=, dataId=mf-oauth-dev.yml, group=DEFAULT_GROUP, cnt=1
21:39:19.235 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=mf-oauth-dev.yml, group=DEFAULT_GROUP
21:39:19.235 [main] INFO  c.a.n.c.c.i.ClientWorker - [addCacheDataIfAbsent,381] - [fixed-localhost_8848] [subscribe] mf-oauth+DEFAULT_GROUP
21:39:19.235 [main] INFO  c.a.n.c.c.i.CacheData - [addListener,197] - [fixed-localhost_8848] [add-listener] ok, tenant=, dataId=mf-oauth, group=DEFAULT_GROUP, cnt=1
21:39:19.235 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=mf-oauth, group=DEFAULT_GROUP
21:39:19.235 [main] INFO  c.a.n.c.c.i.ClientWorker - [addCacheDataIfAbsent,381] - [fixed-localhost_8848] [subscribe] application-dev.yml+DEFAULT_GROUP
21:39:19.235 [main] INFO  c.a.n.c.c.i.CacheData - [addListener,197] - [fixed-localhost_8848] [add-listener] ok, tenant=, dataId=application-dev.yml, group=DEFAULT_GROUP, cnt=1
21:39:19.235 [main] INFO  c.a.c.n.r.NacosContextRefresher - [registerNacosListener,129] - [Nacos Config] Listening config: dataId=application-dev.yml, group=DEFAULT_GROUP
21:39:19.235 [main] INFO  c.a.s.o.MfOauthApplication - [main,17] - 
	----------------------------------------------------------
	
	--------------------认证中心启动成功-----------------------
	
21:39:19.619 [RMI TCP Connection(11)-172.18.217.135] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
21:40:42.871 [http-nio-0.0.0.0-9218-exec-1] INFO  o.a.s.s.m.AbstractValidatingSessionManager - [enableSessionValidation,233] - Enabling session validation scheduler...
21:40:57.214 [task-1] INFO  c.a.n.client.naming - [subscribe,167] - [SUBSCRIBE-SERVICE] service:mf-sys, group:DEFAULT_GROUP, clusters: 
21:40:57.217 [task-1] INFO  c.a.n.client.naming - [isChangedServiceInfo,184] - init new ips(1) service: DEFAULT_GROUP@@mf-sys -> [{"ip":"169.254.54.134","port":9221,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"DEFAULT","serviceName":"DEFAULT_GROUP@@mf-sys","metadata":{"preserved.register.source":"SPRING_CLOUD"},"ipDeleteTimeout":30000,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000}]
21:40:57.218 [task-1] INFO  c.a.n.client.naming - [processServiceInfo,169] - current ips:(1) service: DEFAULT_GROUP@@mf-sys -> [{"ip":"169.254.54.134","port":9221,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"DEFAULT","serviceName":"DEFAULT_GROUP@@mf-sys","metadata":{"preserved.register.source":"SPRING_CLOUD"},"ipDeleteTimeout":30000,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000}]
21:40:57.767 [nacos-grpc-client-executor-localhost-37] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [cf288f5f-8512-4e7e-a6bd-81a67bb9a846] Receive server push request, request = NotifySubscriberRequest, requestId = 20
21:40:57.767 [nacos-grpc-client-executor-localhost-37] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [cf288f5f-8512-4e7e-a6bd-81a67bb9a846] Ack server push request, request = NotifySubscriberRequest, requestId = 20
22:16:39.726 [nacos-grpc-client-executor-localhost-480] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9e18bb56-95c8-4f6f-bd16-cd38f3d25a5e_config-0] Receive server push request, request = ConfigChangeNotifyRequest, requestId = 26
22:16:39.727 [nacos-grpc-client-executor-localhost-480] INFO  c.a.n.c.c.i.ClientWorker - [lambda$initRpcClientHandler$0,605] - [9e18bb56-95c8-4f6f-bd16-cd38f3d25a5e_config-0] [server-push] config changed. dataId=mf-oauth-dev.yml, group=DEFAULT_GROUP,tenant=null
22:16:39.729 [nacos-grpc-client-executor-localhost-480] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [9e18bb56-95c8-4f6f-bd16-cd38f3d25a5e_config-0] Ack server push request, request = ConfigChangeNotifyRequest, requestId = 26
22:16:39.747 [com.alibaba.nacos.client.Worker] INFO  c.a.n.c.c.i.ClientWorker - [refreshContentAndCheck,450] - [fixed-localhost_8848] [data-received] dataId=mf-oauth-dev.yml, group=DEFAULT_GROUP, tenant=, md5=a2f9c6a8e61e547efcbf68a045638fff, content=swagger:
  title: '认证中心'
  needAuth: true
# mybatis配置
mybatis-plus:
  # 搜索指定包别名
  type-aliases-packa..., type=yaml
22:16:39.754 [com.alibaba.nacos.client.Worker] INFO  c.a.n.c.c.i.CacheData - [safeNotifyListener,383] - [fixed-localhost_8848] [notify-listener] time cost=0ms in ClientWorker, dataId=mf-oauth-dev.yml, group=DEFAULT_GROUP, md5=a2f9c6a8e61e547efcbf68a045638fff, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@265d847f 
22:16:39.754 [nacos.client.cachedata.internal.notifier] INFO  c.a.n.c.c.i.CacheData - [lambda$safeNotifyListener$1,319] - [fixed-localhost_8848] [notify-context] dataId=mf-oauth-dev.yml, group=DEFAULT_GROUP, md5=a2f9c6a8e61e547efcbf68a045638fff
22:16:40.997 [nacos.client.cachedata.internal.notifier] INFO  c.a.n.c.c.i.CacheData - [lambda$safeNotifyListener$1,345] - [fixed-localhost_8848] [notify-ok] dataId=mf-oauth-dev.yml, group=DEFAULT_GROUP, md5=a2f9c6a8e61e547efcbf68a045638fff, listener=com.alibaba.cloud.nacos.refresh.NacosContextRefresher$1@265d847f ,cost=1243 millis.
22:17:14.677 [main] INFO  c.a.s.o.MfOauthApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
22:17:22.980 [main] INFO  c.a.d.p.DruidDataSource - [init,985] - {dataSource-1,master} inited
22:17:22.984 [Druid-ConnectionPool-Create-1055787253] INFO  c.a.d.p.DruidAbstractDataSource - [setFailContinuous,1883] - {dataSource-1} failContinuous is true
22:18:05.059 [main] INFO  c.a.s.o.MfOauthApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
22:18:10.317 [main] INFO  c.a.d.p.DruidDataSource - [init,985] - {dataSource-1,master} inited
22:18:10.320 [Druid-ConnectionPool-Create-1647441786] INFO  c.a.d.p.DruidAbstractDataSource - [setFailContinuous,1883] - {dataSource-1} failContinuous is true
22:18:17.643 [main] INFO  c.a.s.o.MfOauthApplication - [logStartupProfileInfo,637] - The following 1 profile is active: "dev"
